inv_id,inv_nama, inv_awal 
0000346,PANEL ALARM 3 ZONE 1 SILINOID + DRY CONTAC + TOMBOL RESET,
0000347,PANEL ALARM 5 ZONE 1 SILINOID + DRY CONTAC + TOMBOL RESET,
0000348,PANEL ALARM 11 ZONE 2 SILINOID ,
0000349,PANEL ALARM 8 ZONE 3 SILINOID + DRY CONTAC + TOMBOL RESET,
0000350,PANEL ALARM 8 ZONE 1 SILINOID + DRY CONTAC + TOMBOL RESET,
0000351,PANEL ALARM 38 ZONE 1 SILINOID + DRY CONTAC + TOMBOL RESET,
0000352,PANEL ALARM 2 ZONE 1 SILINOID + TOMBOL RESET,
0000353,PANEL ALARM 3 ZONE 1 SILINOID + TOMBOL RESET, 7.00 
0000354,PANEL ALARM 4 ZONE 1 SILINOID + DRY KONTAC + TOMBOL RESET,
0000355,PANEL ALARM 4 ZONE 1 SILINOID + TOMBOL RESET, 3.00 
0000356,PANEL ALARM 5 ZONE 1 SILINOID + TOMBOL RESET, 5.00 
0000357,PANEL ALARM 6 ZONE 1 SILINOID +DRY CONTACT+TOMBOL RESET,
0000358,PANEL ALARM 6 ZONE 1 SILINOID +TOMBOL RESET, 5.00 
0000359,PANEL ALARM 7 ZONE 1 SILINOID +DRY CONTAK +TOMBOL RESET, 1.00 
0000360,PANEL ALARM 7 ZONE 1 SILINOID +TOMBOL RESET, 4.00 
0000361,PANEL ALARM 8 ZONE 3 SILINOID + DRY CONTACT, 1.00 
0000362,PANEL ALARM 8 ZONE 1 SILINOID + TOMBOL RESET,
0000363,PANEL ALARM 12 ZONE 1 SILINOID +TOMBOL RESET,
0000364,PANEL ALARM 16 ZONE 4 SILINOID + DRY CONTAC + TOMBOL RESET,
0000365,PANEL ALARM 16 ZONE 4 SILINOID + DRY CONTACT + 4 TOMBOL RESET,
0000366,PANEL ALARM 12 ZONE 3 SILINOID + DRY CONTACT + 3 TOMBOL RESET,
0000367,PANEL ALARM 8 ZONE 3 SILINOID + DRY CONTAC + 3 TOMBOL RESET,
0000368,PANEL ALARM 8 ZONE 2 SILINOID + DRY CONTACT + 2 TOMBOL RESET,
0000369,PANEL ALARM 6 ZONE 2 SILINOID + DRY CONTACT + 2 TOMBOL RESET,
0000370,PANEL ALARM 19 ZONE 6 SILINOID + DRY CONTACT + TOMBOL RESET,
0000371,PANEL ALARM 9 Z 1 S + DC + TR,
0000372,PANEL ALARM 11 ZONE 2 SILINOID + DRYCONTACT+2 TOMBOL RESET,
0000373,PANEL ALARM 10 ZONE 2 SILINOID + DRYCONTACT+2 TOMBOL RESET,
0000374,PANEL ALARM 14 ZONE 2 SILINOID +DRYCONTACT+2 TOMBOL RESET,
0000375,PANEL ALARM 5 ZONE 2 SILINOID + DRY CONTACT+2 TOMBOL RESET,
0000376,PANEL ALARM 4 ZONE 2 SILINOID + DRY CONTACT + 2 TOMBOL RESET,
0000377,PANEL ALARM 2 ZONE 2 SILINOID + DRY CONTACT + 2 TOMBOL RESET,
0000378,PANEL ALARM 3 ZONE 2 SILINOID + DRY CONTACT + 2 TOMBOL RESET,
0000379,PANEL ALARM 16 ZONE 3 SILINOID + DRY CONTACT + 3 TOMBOL RESET,
0000380,PANEL ALARM 12 ZONE 5 SILINOID + DRY CONTACT + 5 TOMBOL RESET,
0000381,PANEL ALARM 24 ZONE 4 SILINOID + DRY CONTACT + 4 TOMBOL RESET,
0000382,PANEL ALARM 9 Z 2 S + DC + 2 TR,
0000383,"PIPA SCH.40 SMLS 1/4""",
0000384,"PIPA SCH.40 SMLS 1/2""", 966.00 
0000385,"PIPA SCH.40 SMLS 3/4""", 641.00 
0000386,"PIPA SCH.40 SMLS 1""", 600.00 
0000387,"PIPA SCH.40 SMLS 1 1/4""", 285.00 
0000388,"PIPA SCH.40 SMLS 1 1/2""", 498.00 
0000389,"PIPA SCH.40 SMLS 2""", 285.00 
0000390,"PIPA SCH.40 SMLS 2 1/2""", 309.00 
0000391,"PIPA SCH.40 SMLS 3""", 3.00 
0000392,PIPA BS SCH.40 SUMITOMO 3/4, 26.00 
0000393,PIPA BS SCH.40 SUMITOMO 1, 12.00 
0000394,PIPA BS SCH.40 SUMITOMO 1 1/2, 69.00 
0000395,PIPA BS SCH.40 SUMITOMO 2 1/2,
0000396,PIPA CLIPSAL 1/2, 489.00 
0000397,CORPLEX (FLEXIBLE CLIPSAL), 213.00 
0000398,CORPLEX (FLEXIBLE CLIPSAL) ROLL,
0000399,PRESSURE GAUGE WIPRO 6KG, 26.00 
0000400,PRESSURE GAUGE WIPRO 10KG, 96.00 
0000401,"PRESSURE GAUGE WIPRO 2,5KG", 82.00 
0000402,PRESSURE GAUGE GMT 10KG, 116.00 
0000403,"PRESSURE GAUGE GMT 2,5KG", 99.00 
0000404,PRESSURE GAUGE DARREN 10 BAR, 68.00 
0000405,PRESSURE GAUGE DARREN 160 MBAR, 5.00 
0000406,PRESSURE GAUGE GERMANY 1000MBAR, 3.00 
0000407,PRESSURE GAUGE ROCKY 1000MBAR,
0000408,PRESSURE GAUGE AUSTRALIA, 19.00 
0000409,PRESSURE GAUGE STEIN 10KG, 5.00 
0000410,PRESSURE GAUGE GMT 100MBAR, 25.00 
